,Unnamed: 0,henry_constant,filename,additional,water,units,ads_and_des,other
1020,1020,5039.506517047952,10.1016j.cattod.2014.07.003.Isotherm6,,,,,
922,922,4953.037238021585,10.1021ja302787x.Isotherm5,,,,,
925,925,4685.047199847249,10.1021Ie202325p.Isotherm2,,,,,
919,919,4631.790424420984,10.1021ja302787x.Isotherm8,,,,,
2608,2608,4620.331787114049,10.1016j.micromeso.2012.02.027.isotherm6,,,,,
2923,2923,4612.1121546782815,10.1021Cm9014749.Isotherm6,,,,,
2077,2077,4484.379747240279,10.1021Jp503778m.Isotherm4,,,,,
932,932,4413.187440390683,10.1016j.ijheatmasstransfer.2012.07.068.Isotherm26,,,,,
2893,2893,4378.465347574284,10.1021Ja205976v.isotherm3,,,,,
920,920,4364.0945341126735,10.1021ja302787x.Isotherm7,,,,,
2351,2351,4148.7665122946,10.1039C3dt50896j.isotherm16,,,,,
933,933,4111.2222437683395,10.1016j.ijheatmasstransfer.2012.07.068.Isotherm1,,,,,
1006,1006,4100.868780692099,10.1021La202924y.Isotherm16,,,,,
2082,2082,4014.087345379879,10.1021Ct500094w.Isotherm7,,,,,
1439,1439,3799.757379005014,10.1016S1004-9541(07)60095-0.Isotherm31,,,,,
923,923,3775.151830203761,10.1021ja302787x.Isotherm4,,,,,
2072,2072,3766.686100590597,10.1021Jp503778m.Isotherm9,,,,,
1621,1621,3747.728613569337,10.1021la010232r.Isotherm9,,,,,
488,488,3621.808165826978,10.1002aic.690480820.isotherm7,,,,,
2895,2895,3611.4497959960686,10.1021Ja203291n.Isotherm1,,,,,
908,908,3505.913371057463,10.1039C1ee02234b.Isotherm5,,,,,
2221,2221,3320.1291137808507,10.1039B810574j.isotherm1,,,,,
863,863,3212.2273376621283,10.1021Jp207411b.isotherm5,,,,,
487,487,3207.341873039211,10.1002aic.690480820.isotherm8,,,,,
2922,2922,3153.6475544639507,10.1021Cm9014749.Isotherm5,,,,,
2079,2079,3149.8931131592744,10.1021Jp503778m.Isotherm2,,,,,
1441,1441,3133.6640021803432,10.1016S1004-9541(07)60095-0.Isotherm25,,,,,
926,926,3081.861612626678,10.1021Ef800938e.isotherm13,,,,,
2872,2872,2949.6731773770725,10.1021Je3007265.isotherm4,,,,,
2749,2749,2909.6388752982125,10.1016j.apsusc.2009.12.090.isotherm2,,,,,
1688,1688,2854.242930151767,10.1016j.fluid.2007.06.030.Isotherm24,,,,,
1454,1454,2783.7467944872924,10.1016S1004-9541(07)60095-0.Isotherm18,,,,,
931,931,2762.3455781932867,10.1016j.ijheatmasstransfer.2012.07.068.Isotherm27,,,,,
3115,3115,2740.547109523025,10.1002adfm.200600944.Isotherm26,,,,,
910,910,2707.182059743327,10.1021La102359q.Isotherm8-1,,,,,
2790,2790,2702.915930916645,10.1021Jp509672c.Isotherm7,,,,,
2758,2758,2692.2224443746604,10.1021Jp805923k.Isotherm4,,,,,
1612,1612,2666.8774951125224,10.1021la010232r.Isotherm15,,,,,
727,727,2602.3183008149945,10.1016j.micromeso.2013.02.025.Isotherm1,,,,,
2576,2576,2596.2202395906265,10.1021je000273plus.isotherm80,,,,,
1443,1443,2556.635272196199,10.1016S1004-9541(07)60095-0.Isotherm19,,,,,
1446,1446,2551.895166093254,10.1016S1004-9541(07)60095-0.Isotherm9-1,,,,,
577,577,2545.4883056471385,10.1007s10934-012-9612-z.isotherm8,,,,,
1921,1921,2516.0050409578243,10.1039C1cc11738f.Isotherm5,,,,,
2789,2789,2356.825609653955,10.1021Jp509672c.Isotherm8,,,,,
909,909,2315.499456507364,10.1021La102359q.Isotherm8-2,,,,,
1487,1487,2289.996329981174,10.1002Aic.14467.Isotherm10,,,,,
916,916,2252.471796183516,10.1021Jp806363w.isotherm1,,,,,
506,506,2186.102668304682,10.1002aic.690480820.isotherm5,,,,,
1951,1951,2180.1006151937727,10.1016j.apenergy.2013.06.041.isotherm6,,,,,
1016,1016,2157.6763485477863,10.1021La8008656.isotherm14,,,,,
930,930,2145.6532029152154,10.1016j.ijheatmasstransfer.2012.07.068.Isotherm4,,,,,
942,942,2094.4450516938905,10.1016j.micromeso.2010.09.013.Isotherm3,,,,,
3052,3052,2063.255133605836,10.1002cssc.201402206.Isotherm12,,,,,
3053,3053,2040.827390366193,10.1002cssc.201402206.Isotherm15,,,,,
924,924,1994.0599206299755,10.1021ja302787x.Isotherm3,,,,,
2243,2243,1985.4808425984838,10.1021Ie202325p.Isotherm4,,,,,
2699,2699,1931.609264764435,10.1039B814498b.Isotherm23,,,,,
2354,2354,1890.5333318278476,10.1039C3ce26788a.Isotherm2,,,,,
2598,2598,1889.2229152897091,10.1039C1cp20502a.Isotherm1,,,,,
921,921,1876.6736176992833,10.1021ja302787x.Isotherm6,,,,,
1157,1157,1825.2265686530727,10.1002hlca.201200466.isotherm5,,,,,
3085,3085,1798.434283117843,10.1002chem.201101183.Isotherm7,,,,,
929,929,1768.4058568651315,10.1016j.micromeso.2008.11.020.Isotherm1,,,,,
1410,1410,1707.7229990469864,10.1039C4cc04945d.Isotherm3,,,,,
1832,1832,1666.3807943355546,10.1007s11224-012-0120-1.isotherm8,,,,,
1160,1160,1660.2244933614313,10.1002hlca.201200466.isotherm2,,,,,
1415,1415,1634.222662435726,10.1021ja302787x.Isotherm1,,,,,
61,61,1624.1562546945565,10.1021Am5028346.Isotherm2,,,,,
834,834,1620.9032836257966,10.1021Ie500310c.Isotherm66,,,,,
507,507,1611.3294220765088,10.1002aic.690480820.isotherm4,,,,,
941,941,1603.9887062303892,10.1021acsami.5b07665.Isotherm2,,,,,
2601,2601,1506.871540461102,10.1016j.micromeso.2008.11.020.Isotherm4,,,,,
2076,2076,1499.7912617685565,10.1021Jp503778m.Isotherm5,,,,,
2762,2762,1492.2445288221286,10.1002aic.690460807.isotherm9,,,,,
166,166,1461.277614596361,10.1021Es9032309.Isotherm1,,,,,
943,943,1420.8271837177374,10.1016j.apenergy.2013.06.041.isotherm2,,,,,
2595,2595,1388.0219297448195,10.1039C1cp20502a.Isotherm4,,,,,
2691,2691,1386.770715198903,10.1039B814498b.Isotherm42,,,,,
2420,2420,1366.713194246534,10.1021acs.jpcc.5b06660.Isotherm6,,,,,
1007,1007,1348.9418276635229,10.1021acsami.5b07665.Isotherm4,,,,,
2859,2859,1337.9852013700106,10.1016j.fluid.2007.06.030.Isotherm49,,,,,
468,468,1335.4808395139526,10.1016j.ijhydene.2011.01.037.isotherm1,,,,,
1740,1740,1332.9377430753095,10.1021La034766z.Isotherm4,,,,,
915,915,1332.8406262575427,10.1021Jp806363w.isotherm2,,,,,
1862,1862,1290.832453199686,10.1007s11224-012-0120-1.isotherm1,,,,,
2753,2753,1274.456482788185,10.1021Jp805923k.Isotherm2-1,,,,,
1796,1796,1222.909992054946,10.1016j.micromeso.2012.01.015.Isotherm5,,,,,
2750,2750,1201.6540527473765,10.1016j.apsusc.2009.12.090.isotherm1,,,,,
1161,1161,1201.2375764700287,10.1002hlca.201200466.isotherm1,,,,,
1611,1611,1199.4260756907415,10.1021je3013217.Isotherm11,,,,,
1388,1388,1182.5421694958022,10.1016j.micromeso.2013.02.025.Isotherm6,,,,,
2446,2446,1149.400869473396,10.1039C1jm10394f.Isotherm1,,,,,
2848,2848,1146.2456161141306,10.1016j.fluid.2007.06.030.Isotherm44,,,,,
478,478,1132.7272830449886,10.1039C1cc14685h.Isotherm2,,,,,
2692,2692,1119.0730139876339,10.1039B814498b.Isotherm41,,,,,
2283,2283,1114.5324751279595,10.1021ar5003126.Isotherm14,,,,,
1463,1463,1090.9910824826118,10.1002aic.690470520.Isotherm1,,,,,
1857,1857,1085.2517164005455,10.1007s11224-012-0120-1.isotherm7,,,,,
965,965,1062.5731796293508,10.1021Jp506335x.Isotherm15,,,,,
505,505,1059.7677798681038,10.1002aic.690480820.isotherm6,,,,,
2422,2422,1059.0347447070244,10.1016j.apenergy.2013.06.041.isotherm3,,,,,
361,361,1043.9990724805805,10.1039C2ee22769j.isotherm34,,,,,
2920,2920,1035.0450925563896,10.1021Ic202601y.Isotherm9,,,,,
1743,1743,1033.312286690046,10.1021Jp034401n.Isotherm2-1,,,,,
2524,2524,1010.4137562793517,10.1021Ef100679e.isotherm3a,,,,,
1727,1727,1007.356376945931,10.1016j.memsci.2006.12.025.Isotherm1,,,,,
1462,1462,965.6172473437068,10.1002aic.690470520.Isotherm6,,,,,
1744,1744,960.5124472219796,10.1021Jp034401n.Isotherm2,,,,,
2905,2905,955.3091170833577,10.1021Ja060946u.Isotherm12,,,,,
2876,2876,947.1884525610808,10.1021Je3007265.isotherm10,,,,,
939,939,926.7362641703251,10.1021Ja205082p.Isotherm2,,,,,
1741,1741,920.8748923888537,10.1021La034766z.Isotherm15,,,,,
3058,3058,914.3015242442084,10.1002cssc.201402206.Isotherm14,,,,,
1008,1008,897.188559092303,10.1016j.colsurfa.2014.09.017.Isotherm31,,,,,
1946,1946,896.7011740513539,10.1039C4cs00078a.Isotherm2,,,,,
1835,1835,886.0613258189952,10.1007s11224-012-0120-1.isotherm2,,,,,
2580,2580,883.2287042391257,10.1021je000273plus.isotherm68,,,,,
247,247,880.8313642636233,10.1021je000273plus.isotherm71,,,,,
2734,2734,877.9536104748497,10.1038nchem.2114.Isotherm8,,,,,
913,913,873.4902141867493,10.1021Jp806363w.isotherm4,,,,,
2525,2525,870.6479582656144,10.1016S0009-2509(00)00531-5.Isotherm4,,,,,
2579,2579,856.699242592971,10.1021je000273plus.isotherm69,,,,,
2421,2421,847.1758180715906,10.1016j.ica.2013.07.024.Isotherm1,,,,,
1797,1797,836.7347501972209,10.1016j.micromeso.2008.11.020.Isotherm5,,,,,
1684,1684,828.7069890145657,10.1021la034766z.Isotherm49,,,,,
1004,1004,819.6819429686185,10.10631.4774332.Isotherm1,,,,,
1610,1610,816.068558301132,10.1039C1ee02234b.Isotherm6,,,,,
1728,1728,814.7145277068335,10.1039B406051b.Isotherm26,,,,,
1949,1949,813.3807982427554,10.1016j.energy.2014.11.022.Isotherm2,,,,,
1739,1739,812.5601883065781,10.1021La034766z.Isotherm4-1,,,,,
833,833,798.8307598617951,10.1021Jp401600v.isotherm1,,,,,
1738,1738,775.3920277941249,10.1021La034766z.Isotherm5,,,,,
1642,1642,761.9001473004761,10.1039C1cc14685h.Isotherm1,,,,,
759,759,758.5750665520857,10.1021la800803w.Isotherm28,,,,,
3103,3103,750.2252650192894,10.1002anie.201506345.Isotherm16,,,,,
2282,2282,736.5800674857201,10.1021ar5003126.Isotherm13,,,,,
381,381,731.8836120868585,10.1016j.jpowsour.2009.02.019.Isotherm3,,,,,
249,249,731.3437142206427,10.1021je000273plus.isotherm65,,,,,
375,375,726.8261765945227,10.1016j.jpowsour.2009.02.019.Isotherm9,,,,,
945,945,710.7924995478949,10.1021la800803w.Isotherm27,,,,,
2031,2031,707.5863767143005,10.1021Jz3008485.Isotherm44,,,,,
1742,1742,704.5584723586412,10.1021La034766z.Isotherm12,,,,,
1696,1696,702.2399797024764,10.1021La034766z.Isotherm14,,,,,
1426,1426,698.6882530140522,10.1252Jcej.37.67.isotherm1,,,,,
1644,1644,685.8502285937982,10.1021La102359q.Isotherm7,,,,,
1898,1898,678.6248807511673,10.1007s10450-008-9137-6.isotherm3,,,,,
1015,1015,671.5921360732337,10.1021La8008656.isotherm15,,,,,
492,492,666.0692778269251,10.1016j.colsurfa.2003.10.025.isotherm4,,,,,
1810,1810,655.1892000443244,10.1039c3ra45983g.Isotherm8,,,,,
1019,1019,651.5922540262937,10.1021La8008656.isotherm11,,,,,
268,268,647.630903289637,10.1039C2ee22769j.isotherm56,,,,,
2687,2687,630.5159231188923,10.1039C0cc00027b.Isotherm2,,,,,
2232,2232,626.9261530530929,10.1016j.apenergy.2013.06.041.isotherm4,,,,,
2178,2178,618.0876194595646,10.1021Cg500190h.Isotherm4,,,,,
990,990,614.5724331983913,10.1021Ie500310c.Isotherm1,,,,,
2517,2517,613.2508894480128,10.1021Jp401923v.isotherm4,,,,,
274,274,611.9491073453181,10.1039C2ee22769j.isotherm43,,,,,
2519,2519,611.1763736220219,10.1021Je800900a.Isotherm28,,,,,
486,486,610.6860434351809,10.1002aic.690480820.isotherm9,,,,,
3102,3102,607.1256746368307,10.1002anie.201506345.Isotherm3,,,,,
1250,1250,606.6537700850831,10.1021Jp305524f.Isotherm36,,,,,
245,245,590.1722282823831,10.1021je000273plus.isotherm77,,,,,
2678,2678,590.0546642831985,10.1039C0cc02496a.Isotherm1,,,,,
912,912,579.0656025432316,10.1021Jp806363w.isotherm5,,,,,
376,376,567.1248542123093,10.1016j.jpowsour.2009.02.019.Isotherm8,,,,,
493,493,555.6985620546727,10.1016j.colsurfa.2003.10.025.isotherm3,,,,,
1407,1407,549.9193663599166,10.1039C4cc04945d.Isotherm6,,,,,
2301,2301,544.8459733152417,10.1002adfm.200800058.Isotherm48,,,,,
1453,1453,529.0874729747043,10.1016S1004-9541(07)60095-0.Isotherm21,,,,,
494,494,526.0595941530053,10.1016j.colsurfa.2003.10.025.isotherm2,,,,,
1408,1408,524.4301847700491,10.1039C4cc04945d.Isotherm5,,,,,
1018,1018,519.0403857340641,10.1021La8008656.isotherm12,,,,,
1745,1745,517.8658820986387,10.1021Jp034401n.Isotherm3,,,,,
1159,1159,506.6689165981714,10.1002hlca.201200466.isotherm3,,,,,
2583,2583,501.5289042146652,10.1002aic.690460807.isotherm1,,,,,
1251,1251,498.68877543735283,10.1021Jp305524f.Isotherm35,,,,,
1248,1248,492.4134022007068,10.1021Jp305524f.Isotherm38,,,,,
2600,2600,491.9455277629029,10.1021ja302787x.Isotherm9,,,,,
2179,2179,491.4184004286883,10.1021Cg500190h.Isotherm3,,,,,
2177,2177,491.4184004286883,10.1021Cg500190h.Isotherm5,,,,,
276,276,489.1322618087381,10.1039C2ee22769j.isotherm41,,,,,
1295,1295,488.3553106838825,10.1021acs.langmuir.5b00833.Isotherm1,,,,,
3080,3080,486.8087332845927,10.1002chem.201103687.isotherm26,,,,,
271,271,482.8979961997948,10.1039C2ee22769j.isotherm46,,,,,
835,835,478.09905758377937,10.1021Ie500310c.Isotherm60,,,,,
2582,2582,468.1035816478222,10.1021je000273plus.isotherm62,,,,,
2007,2007,464.08764084164346,10.1021Ic201219g.isotherm9,,,,,
1413,1413,463.1371239117236,10.1021Ja500330a.Isotherm3,,,,,
1647,1647,457.5044534567029,10.108008927022.2011.602974.Isotherm13,,,,,
1416,1416,456.3254561844511,10.1021Ie202325p.Isotherm3,,,,,
2299,2299,455.8613633168061,10.1002adfm.200800058.Isotherm58,,,,,
164,164,452.6747001067694,10.1021Je800900a.Isotherm21,,,,,
1445,1445,448.78048781241205,10.1016S1004-9541(07)60095-0.Isotherm1,,,,,
254,254,448.78048781241205,10.1016s1004954107600950.Isotherm69,,,,,
495,495,448.12288765664726,10.1016j.colsurfa.2003.10.025.isotherm1,,,,,
2862,2862,442.98676452670367,10.1007s10934-014-9823-6.Isotherm1,,,,,
2574,2574,442.5995879199577,10.1038Nchem.548.isotherm3,,,,,
248,248,442.5836878068288,10.1021je000273plus.isotherm70,,,,,
1249,1249,438.6665739716091,10.1021Jp305524f.Isotherm37,,,,,
2748,2748,434.97347177890106,10.1016j.apsusc.2009.12.090.isotherm3,,,,,
1964,1964,424.652420482274,10.1021Cg500190h.Isotherm9,,,,,
1965,1965,424.652420482274,10.1021Cg500190h.Isotherm8,,,,,
1014,1014,424.15856606915145,10.1021La8008656.isotherm17,,,,,
3046,3046,420.62962718208803,10.1002ejic.200900144.Isotherm3,,,,,
1514,1514,419.05739581943413,10.1016j.apenergy.2013.06.041.isotherm7,,,,,
1017,1017,415.1520129859674,10.1021La8008656.isotherm13,,,,,
586,586,409.96488124982943,10.108008927020902988865.Isotherm5,,,,,
2858,2858,404.4025835989592,10.1016j.fluid.2007.06.030.Isotherm4,,,,,
1581,1581,395.7168038749037,10.1016j.ijhydene.2008.09.053.Isotherm4,,,,,
250,250,393.1645898217552,10.1021je000273plus.isotherm64,,,,,
585,585,387.55240635538553,10.108008927020902988865.Isotherm5-1,,,,,
1003,1003,386.8898929457128,10.10631.4774332.Isotherm1-1,,,,,
3008,3008,382.43006505115005,10.1016j.micromeso.2013.06.023.Isotherm23,,,,,
1428,1428,375.99376948326426,10.1252Jcej.37.67.isotherm2,,,,,
3054,3054,374.9814323759255,10.1002cssc.201402206.Isotherm16,,,,,
1414,1414,374.9427267600123,10.1021ja302787x.Isotherm2,,,,,
1948,1948,374.5979429245128,10.1016j.energy.2014.11.022.Isotherm7,,,,,
273,273,374.3468416895636,10.1039C2ee22769j.isotherm44,,,,,
2764,2764,367.76860976428907,10.1002aic.690460807.isotherm21,,,,,
251,251,362.8478717127592,10.1016s1004954107600950.Isotherm72,,,,,
2688,2688,361.5823404691384,10.1039C0cc00027b.Isotherm3,,,,,
1247,1247,359.86232136974274,10.1021Jp305524f.Isotherm39,,,,,
2511,2511,356.50161108711256,10.1016j.micromeso.2010.07.007.isotherm26,,,,,
1431,1431,351.9540293551145,10.1016j.apsusc.2009.12.120.Isotherm9-1,,,,,
1592,1592,351.68284010503555,10.1016j.jcis.2010.04.078.Isotherm1,,,,,
2300,2300,350.89073962933617,10.1002adfm.200800058.Isotherm33,,,,,
265,265,342.5341018295088,10.1039C2ee22769j.isotherm69,,,,,
2328,2328,338.8980215981641,10.1021la803818p.isotherm1,,,,,
1005,1005,338.0238751513479,10.1021La202924y.Isotherm3,,,,,
2053,2053,336.5153000627488,10.1021Cg500190h.Isotherm2,,,,,
2054,2054,336.5153000627488,10.1021Cg500190h.Isotherm1,,,,,
2572,2572,331.80793476100087,10.1016j.cej.2014.09.123.Isotherm10,,,,,
1409,1409,328.28518188383634,10.1039C4cc04945d.Isotherm4,,,,,
2912,2912,327.05616491704114,10.1021Ic4020256.Isotherm7,,,,,
1475,1475,325.97103815161387,10.1002aic.690470520.Isotherm2,,,,,
714,714,320.3860236990536,10.1021la800803w.Isotherm26,,,,,
2516,2516,319.3115331979008,10.1021Ie202325p.Isotherm7,,,,,
252,252,318.09617087341115,10.1016s1004954107600950.Isotherm71,,,,,
2518,2518,314.929610669026,10.1021Je800900a.Isotherm42,,,,,
3088,3088,313.0610713248292,10.1002chem.201002818.Isotherm4,,,,,
1155,1155,313.0178316281998,10.1016j.micromeso.2008.04.033.isotherm1,,,,,
2521,2521,310.1127340864904,10.1021Je1002225.isotherm11,,,,,
