,Carbon Dioxide,Nitrogen,Methane,Oxygen,Propene,N-propane,Acetylene,Hydrogen,Ethane,Ethene,Water,Xenon,Krypton,Nitric oxide,N-Hexane,Methanol,Ethanol,Sulfur Hexafluoride,Carbon monoxide,Cyclohexane,Benzene,Argon,Ammonia,Nitrogen Dioxide,Acetone,N-Butane,Isobutane,2-Propanol,1-Propanol,Toluene,Hydrogen sulfide,N-Pentane,1-Butanol,P-Xylene,Sulfur dioxide,Helium,Nitrous oxide,1-butene,Formaldehyde,2-Methylbutane
{[Cu2(4-pmpmd)2(CH3OH)4(opd)2]*2H2O},,,,,,,,,,,11.374724001904505,,,,,19.26779178121829,15.374392339489148,,,,136.97868840102785,,,,,,,,2.0346251136815385,,,,,,,,,,,
IRMOF-8-INT,1.4471300001110794,,0.7224672991244576,,,,,,8.38627038492072,4.517708006467645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3N,38.72685180472478,,0.3189808415197822,,,,,0.14625022138546537,,,,,,,,,,,1.1370533398695726,,,,,,,,,,,,,,,,,,,,,
Boron nitride,,0.18596158512389693,0.8353350648619701,,22.28855065604292,34.6196530151549,,,7.627177928706738,4.809564728493041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMOC-2,,,0.19851446615950824,,6.017567576808862,1.0204223410358393,,,0.7755900515372312,0.7254539360636245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIF-4,,,,,431.11530584902357,649.2962216150617,,,69.97448748581769,32.27901778107559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA-ETS-10,,0.0021517147465399617,,0.00019446131804885772,523.9281694650142,344.827112215449,,,,,,,,,,,,,,,,0.0002707292720909245,,,,,,,,,,,,,,,,,,
BPL Carbon,1.4060545605921901,0.3300012674433586,1.422552672806736,,,,,,,2.0647295277209174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Cd(pda)0.5(spiro-4-py)0.5(HCOO)]·2H2O·DMF,1.6586413999982654,0.196597146646103,,0.04481262534998754,,,,,,,,,,,,,,,0.31368795540074745,,,,,,,,,,,,,,,,,,,,,
[Cd2(pda)(spiro-4-py) (CH3COO)2]·DMA,1.4917388194425987,0.0977941058879079,,0.04720056167280714,,,,,,,,,,,,,,,0.06541757092118035,,,,,,,,,,,,,,,,,,,,,
(H3O)4[Ni6(pi3-O)2(pi2-OSC2H6)2(SO4)2(TATB)8/3].4C2H6O.13H2O,5.61769856096679,,4.699610499318886,,,,8.633338505865783,,,6.177518702207805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu(I)AC,0.2523494903577428,0.1452878984456757,0.20473347395366845,,,,,0.37902673345362003,,,,,,,,,,,1.8126726003348141,,,,,,,,,,,,,,,,,,,,,
Cu(I)Y,6.421920597720623,0.1844910792428818,0.24527607802726176,,,,,0.1184967484586848,,,,,,,,,,,74.70143535701155,,,,,,,,,,,,,,,,,,,,,
MIL-125(Ti),2.9754482997643192,0.16311115482686617,0.5655232885054347,,,,,0.21297983475769403,,,,,,,,,,,0.22570074102239052,,,,,,,,,,,,,,,,,,,,,
ZJU-31a,,,1.0871587168120547,,,,9.445525487442165,,10.909214339290532,9.426810059517663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJU-12a,,,0.3839921684591667,,,,6.129483121184432,,3.848045695776011,3.281634373571674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeolite FAU-I,450.23435810329073,0.24738754936376373,,0.10476382792065378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.15300166761261,,,
Zeolite Na-LSX,84.08602934725002,0.374496510593827,,,,,,0.015153940949078954,,,,,,,,,,,,,,0.1242805487705502,,,,,,,,,,,,,,,,,,
Chabazite,404.73746372489745,0.4304466147082585,2.588022226607926,,,,,,,,203573.56823367544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPL Activated Carbon,1.5169467594641124,0.28003370818265505,1.5262369287875917,,,,,,,,,,,,,,,,0.5523496853240091,,,,,,,,,,,,,,,,,,,,,
Norit R1 Extra,2.343245873217378,0.3230548153610859,0.9948289695232279,,,,,0.08813755437126283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnAcBPDC,4.393490944190645,,0.8348605799918272,,91.44705735728616,104.77369803498831,,,0.9550681497822497,8.008513398828386,,,,,,,,,,,,,,,,198.31537148351077,,,,,,,,,,,,339.27799213422554,,
ZnBuBPDC,2.0496736488349914,,0.8024175740887941,,32.33369278850463,35.166856944083506,,,4.198849476923355,4.69173943663781,,,,,,,,,,,,,,,,307.6209288313687,,,,,,,,,,,,249.20883633735266,,
"{Ag3[Ag5(mu3-3,5-tBu2tz)6](BF4)2}n",0.31031824662060137,0.03302515600016913,0.07024008449164264,0.05495117348383149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{Ag3[Ag5(mu3-3,5-Ph2tz)6](NO3)2}n",0.4184193649258489,0.04246187159092204,0.09083931919604876,0.1524180507706083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe-BTC,,,,,,,,,,,,,,,,,1349.4000097108828,,,,,,,,,,,,,936.7044140601938,,1002.0778473534963,,,,,,,,685.5326858734563
Zn2(BDC)2(TED),3.391199376350158,0.2195742687525524,0.4763952858645026,,,,,0.04262320895776563,,,4.271678454528243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeolite TON,,,,,,,,,,,,,,,,,,,,,,,,,,181.7391299960265,13.438333599821927,,,,,2884.5337953561534,,,,,,,,27.77273740373606
Zeolite TER,,,,,,,,,,,,,,,,,,,,,,,,,,95.19349365615615,520.4908820467922,,,,,1069.083634257043,,,,,,,,1284.3417702632373
Zeolite MEL,,,,,,,,,,,,,,,,,,,,,,,,,,38.039554931332965,364.75382707110055,,,,,1990.622879945566,,,,,,,,1569.047468019369
Sc3(Me-BTC)2(OH)3,11.156282533897816,0.5828428009981098,1.87429130648976,,,,,0.0457515841280008,,,118.83134647031102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc3(BTC)2(OH)3,15.496957694204129,0.8441857478253506,2.4105508677957324,,,,,0.07275662481785607,,,176.86517921144787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal from Brzeszcze mine,0.8292394725885985,,,,1.5096165017651508,,1.7300680431958368,0.009004281514380437,,0.7071380445417272,,,,,,,,,0.0181653413923922,,,,,,,,,,,,,,,,,,,,,
coal from Staszic mine,1.18263448952825,,,,1.7674765756691788,,2.010956053901305,0.004144512142729693,,0.898924413824723,,,,,,,,,0.030682222998444607,,,,,,,,,,,,,,,,,,,,,
coal from Marcel-1 mine,0.43474753976025265,,,,0.4814511698216191,,0.9876143247147978,0.005539415732499517,,0.25645806189053494,,,,,,,,,0.011294556070424526,,,,,,,,,,,,,,,,,,,,,
coal from Borynia mine,0.43353294635506834,,,,0.3770795387858664,,0.3674511308950526,0.0029629902344995114,,0.32348403608954834,,,,,,,,,0.011717986044041666,,,,,,,,,,,,,,,,,,,,,
coal from Bielszowice mine,0.4553722341583018,,,,0.47880961177623843,,0.7041264644753276,0.0025378570853496437,,0.2945300127988663,,,,,,,,,0.012013672104839425,,,,,,,,,,,,,,,,,,,,,
coal from Marcel mine,0.5284975405154444,,,,0.7645639654367895,,0.864182414306433,0.004474933709762558,,0.41170499179715975,,,,,,,,,0.015656093426644303,,,,,,,,,,,,,,,,,,,,,
Carbon Nanosheets,5.040271641977401,0.2736461720094537,0.9954025307328715,,,,,,,,,,,,,,,,3.474074647111665,,,,,,,,,,,,,,,,,,,,,
MIL-53(Al)sol.ht,4.382802194383137,0.19568610098127334,0.5462764432078281,0.1184677039090066,,,,,,,,,,,,,,,0.2681201373024268,,,0.15256179676208137,,,,,,,,,,,,,,,,,,
Zeosorb 13X,5.497488305267755,0.37812788499836175,0.8781155829260716,,,,,0.041826134355666324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc-MOF,0.49253435997662315,0.019691348813623354,0.028733004559734984,,,,,,,,0.36507128062881194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ-COP-3,0.5958819857358735,0.18259414920220102,0.370657371226423,,,,,0.046003235275006424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ-COP-2,0.5439046398460403,0.16943385265228925,0.3557206611006722,,,,,0.04489801437755961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ-COP-1,0.8676961163062386,0.22122750912537087,0.5174851890771172,,,,,0.04079200692061164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co2(NH2-BDC)1.5(L)(HCO2) solvent,2.173570629806969,0.17948648395837938,1.0799744772506241,0.4735442601225353,,,,,,,,,,,,,,,0.3426930800052754,,,,,,,,,,,,,,,,,,,,,
Cu(BDC-OH),5.1995152135980955,,0.758960678856455,,,,7.610146076035762,,,,,,,,,13.724544488242852,,,,,,,,,,,,,,,,,,,,,,,,
[Zn(SiF6)(pyz)2]n,,,,,,,,0.010604554373133129,,,,,,,,436.30252096658455,822.412853299785,,,,,,,,246.0453087833068,,,,185.15543699814918,,,,,,,,,,,
FJI-C1,,,0.64250455717869,,,37.612291825405634,7.763674658506861,,5.659302589278895,4.228416556567363,,,,,,209.52506142741547,23.43079362297246,,,0.7790968699782935,60.699831189896116,,,,,,,,,10.678956922408888,,,,,,,,,,
Activated [Zn2(sdc)2(bpe],,,,,0.9074158440521259,0.5953255357718534,20.42184195259422,,2.7463749346485837,6.677907636753937,,,,,,,,,,,,,,,,0.3758597422025741,,,,,,,,,,,,,,
467-MOF,7.705373740674188,0.1889212620531884,1.136828280425456,0.22159533785426014,,,,0.022552483045915908,,,,,,,,,,,,,,0.3243736244044222,,,,,,,,,,,,,,,,,,
UTSA-34b,,,0.8854229697981005,,,,16.64729500323296,,15.987845303488381,15.443795365844595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA-34a,,,0.7542213568883762,,,,10.73191207040314,,16.527019586228356,8.2810985823963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Co3(ndc)-(HCOO)3(mu3-OH)(H2O)]n,57.626860095996584,273.2069786529139,67.93867966867934,,,,,,,,52.48646529806436,,,,,165.661536534083,206.9875698169449,,,,,,,,1138.4314577998575,,,703.9590595478782,98.26986870140992,,,,109.7933160773652,,,,,,,
UTSA-33a,,,0.6293260907937859,,,,10.730089101671897,,11.996753609024124,7.772245761988206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{[Zn2(H2dht)(dht)0.5)(azpy)0.5]},0.5999965625727587,,,,,,,,,,145.61437844455367,,,,,210.9808038832489,146.4771090905859,,,,2.552802164064046,,,,,,,,,,,,,,,,,,,
UTSA-36a,,,0.7343627655317021,,,,7.912168644044304,,10.25283298711337,7.465381065313384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Zn(BDC-OH)-(TED)0.5],3.6031560870364725,0.23530225352566522,0.49475842975472994,0.1478529463075528,,,,,,,,,,,,,,,0.2581713722113479,,,,,,,,,,,,,,,,,,,,,
[Zn3(TCPB)2*2H2O]*2H2O*4DMF,,,,,,,,,,,14.912431128756165,,,,,86.85482049728148,212.72687127055474,,,,,,,,,,,,105.23967291677208,,,,,,,,,,,
[Cu2(bza)4(pyz)]n,,,,,,,,,,,,,,,,64.72735272280731,36.6331793157195,,,,,,,,,,,,44.98247426833073,,,,212.62689793706642,,,,,,,
[Rh2(bza)4(pyz)]n,,,,,,,,,,,,,,,,55.221889399636275,41.19640663425555,,,,,,,,,,,,33.349606690402794,,,,322.3953271674098,,,,,,,
Tb-fum-fcu-MOF,,,0.5455683408708151,,,84.16289641978939,,,12.48131686847074,,5277.647956110752,,,,,,,,,,,,,,,237.7968573531056,,,,,,,,,,,,,,
Y-fum-fcu-MOF,,,0.7325539665631781,,,102.69243079565612,,,16.43134871842523,,4141.887805733212,,,,,,,,,,,,,,,833.3303009517663,,,,,,495.24594551505294,,,,,,,,
[{Zn(L)(H2O)2}(NO3)2*2H2O]n,,,,,,,,,,,183.5966151616515,,,,,19.611153221570884,27.129605922285766,,,,2.939671993184673,,,,18.473811678121802,,,,,,,,,,,,,,,
Zn(BDC)(BPY) 0.5,0.451214531728164,0.18351327564539432,0.8634968567247461,0.1396705375766529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(NDC)(DMBPY) 0.5,0.44781374137907515,0.12037084472089744,0.2042430911148169,0.046560676307985126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn(BDC)(DMBPY) 0.5,0.8963742429467907,0.38443228098540383,0.3518826190707412,0.16129620372315223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Zn(bdc)(ted)0.5]*2DMF*0.2H2O,,,,,,56.69645591801695,,,,,47.115810229667915,,,,5280.734055521977,330.27431461939227,638.8578102661759,,,812.0111566416282,619.8371649094074,,,,,,,,,,,,,,,,,,,
